seed,k,bands,rows,threshold,time,matches
42,120,20,6,0.5,503.68,390
1,60,10,6,0.5,275.85,228
5,60,10,6,0.5,387.15,304
42,60,10,6,0.5,352.19,239
112,60,10,6,0.5,352.50,238
1011,60,10,6,0.5,232.09,101
1,60,12,5,0.5,1526.21,462
1,80,10,8,0.5,80.58,69
5,80,10,8,0.5,90.20,65
42,80,10,8,0.5,95.30,62
112,80,10,8,0.5,91.66,50
1011,80,10,8,0.5,87.45,17
1,80,10,8,0.5,48.27,69
1,100,10,10,0.5,42.34,11
5,100,10,10,0.5,44.83,26
42,100,10,10,0.5,43.31,19
112,100,10,10,0.5,912.89,12
1011,100,10,10,0.5,44.53,10
1,120,10,12,0.5,49.54,2
5,120,10,12,0.5,50.66,4
42,120,10,12,0.5,50.32,1
112,120,10,12,0.5,50.40,4
1011,120,10,12,0.5,51.28,3
1,120,12,10,0.5,53.35,11
5,120,12,10,0.5,54.14,27
42,120,12,10,0.5,51.96,20
112,120,12,10,0.5,52.73,16
1011,120,12,10,0.5,52.23,10
1,120,15,8,0.5,77.29,81
5,120,15,8,0.5,91.38,100
42,120,15,8,0.5,73.90,79
112,120,15,8,0.5,69.62,67
1011,120,15,8,0.5,69.25,39
1,120,20,6,0.5,561.84,327
5,120,20,6,0.5,817.97,491
42,120,20,6,0.5,644.49,390
112,120,20,6,0.5,757.85,358
1011,120,20,6,0.5,491.13,269
1,140,10,14,0.5,57.52,1
5,140,10,14,0.5,58.16,1
42,140,10,14,0.5,56.76,3
112,140,10,14,0.5,58.91,1
1011,140,10,14,0.5,58.09,1
1,140,14,10,0.5,61.36,16
5,140,14,10,0.5,61.72,39
42,140,14,10,0.5,60.96,22
112,140,14,10,0.5,61.30,19
1011,140,14,10,0.5,60.12,10
1,140,20,7,0.5,264.55,191
5,140,20,7,0.5,267.07,352
42,140,20,7,0.5,230.90,210
112,140,20,7,0.5,211.53,186
1011,140,20,7,0.5,234.98,144
1,160,10,16,0.5,65.64,0
5,160,10,16,0.5,65.82,0
42,160,10,16,0.5,66.81,0
112,160,10,16,0.5,65.42,1
1011,160,10,16,0.5,65.21,0
1,160,16,10,0.5,70.93,27
5,160,16,10,0.5,69.22,44
42,160,16,10,0.5,70.33,26
112,160,16,10,0.5,71.64,21
1011,160,16,10,0.5,69.13,11
1,160,20,8,0.5,109.63,125
5,160,20,8,0.5,138.95,228
42,160,20,8,0.5,108.25,96
112,160,20,8,0.5,93.59,79
1011,160,20,8,0.5,107.81,52
