seed=42, k=120, bands=20, rows=6, threshold=0.5, time=503.68s, matches=390
seed=1, k=60, bands=10, rows=6, threshold=0.5, time=275.85s, matches=228
seed=5, k=60, bands=10, rows=6, threshold=0.5, time=387.15s, matches=304
seed=42, k=60, bands=10, rows=6, threshold=0.5, time=352.19s, matches=239
seed=112, k=60, bands=10, rows=6, threshold=0.5, time=352.50s, matches=238
seed=1011, k=60, bands=10, rows=6, threshold=0.5, time=232.09s, matches=101
seed=1, k=60, bands=12, rows=5, threshold=0.5, time=1526.21s, matches=462
seed=1, k=80, bands=10, rows=8, threshold=0.5, time=80.58s, matches=69
seed=5, k=80, bands=10, rows=8, threshold=0.5, time=90.20s, matches=65
seed=42, k=80, bands=10, rows=8, threshold=0.5, time=95.30s, matches=62
seed=112, k=80, bands=10, rows=8, threshold=0.5, time=91.66s, matches=50
seed=1011, k=80, bands=10, rows=8, threshold=0.5, time=87.45s, matches=17
seed=1, k=80, bands=10, rows=8, threshold=0.5, time=48.27s, matches=69
seed=1, k=80, bands=16, rows=5, threshold=0.5, time=43.47s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=5, k=80, bands=16, rows=5, threshold=0.5, time=44.10s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=42, k=80, bands=16, rows=5, threshold=0.5, time=43.60s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=112, k=80, bands=16, rows=5, threshold=0.5, time=44.90s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1011, k=80, bands=16, rows=5, threshold=0.5, time=43.68s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1, k=80, bands=20, rows=4, threshold=0.5, time=44.02s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=5, k=80, bands=20, rows=4, threshold=0.5, time=64.31s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=42, k=80, bands=20, rows=4, threshold=0.5, time=53.42s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=112, k=80, bands=20, rows=4, threshold=0.5, time=42.59s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1011, k=80, bands=20, rows=4, threshold=0.5, time=43.81s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1, k=100, bands=10, rows=10, threshold=0.5, time=42.34s, matches=11
seed=5, k=100, bands=10, rows=10, threshold=0.5, time=44.83s, matches=26
seed=42, k=100, bands=10, rows=10, threshold=0.5, time=43.31s, matches=19
seed=112, k=100, bands=10, rows=10, threshold=0.5, time=912.89s, matches=12
seed=1011, k=100, bands=10, rows=10, threshold=0.5, time=44.53s, matches=10
seed=1, k=100, bands=20, rows=5, threshold=0.5, time=52.83s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=5, k=100, bands=20, rows=5, threshold=0.5, time=52.23s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=42, k=100, bands=20, rows=5, threshold=0.5, time=52.04s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=112, k=100, bands=20, rows=5, threshold=0.5, time=51.37s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1011, k=100, bands=20, rows=5, threshold=0.5, time=51.75s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1, k=100, bands=25, rows=4, threshold=0.5, time=52.08s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=5, k=100, bands=25, rows=4, threshold=0.5, time=81.24s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=42, k=100, bands=25, rows=4, threshold=0.5, time=125.30s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=112, k=100, bands=25, rows=4, threshold=0.5, time=52.95s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1011, k=100, bands=25, rows=4, threshold=0.5, time=52.65s, matches=SKIPPED_TOO_MANY_CANDIDATES
seed=1, k=120, bands=10, rows=12, threshold=0.5, time=49.54s, matches=2
seed=5, k=120, bands=10, rows=12, threshold=0.5, time=50.66s, matches=4
seed=42, k=120, bands=10, rows=12, threshold=0.5, time=50.32s, matches=1
seed=112, k=120, bands=10, rows=12, threshold=0.5, time=50.40s, matches=4
seed=1011, k=120, bands=10, rows=12, threshold=0.5, time=51.28s, matches=3
seed=1, k=120, bands=12, rows=10, threshold=0.5, time=53.35s, matches=11
seed=5, k=120, bands=12, rows=10, threshold=0.5, time=54.14s, matches=27
seed=42, k=120, bands=12, rows=10, threshold=0.5, time=51.96s, matches=20
seed=112, k=120, bands=12, rows=10, threshold=0.5, time=52.73s, matches=16
seed=1011, k=120, bands=12, rows=10, threshold=0.5, time=52.23s, matches=10
seed=1, k=120, bands=15, rows=8, threshold=0.5, time=77.29s, matches=81
seed=5, k=120, bands=15, rows=8, threshold=0.5, time=91.38s, matches=100
seed=42, k=120, bands=15, rows=8, threshold=0.5, time=73.90s, matches=79
seed=112, k=120, bands=15, rows=8, threshold=0.5, time=69.62s, matches=67
seed=1011, k=120, bands=15, rows=8, threshold=0.5, time=69.25s, matches=39
seed=1, k=120, bands=20, rows=6, threshold=0.5, time=561.84s, matches=327
seed=5, k=120, bands=20, rows=6, threshold=0.5, time=817.97s, matches=491
